x y_gt y_node
1.0 0.0 0.0
1.01 0.00294 0.00960318667536615
1.13 0.136 0.10937897771072928
1.23 0.235 0.17645587807585977
1.41 0.334 0.27481811294877384
1.61 0.433 0.3643605992628169
1.89 0.519 0.4720769349688943
2.17 0.594 0.5703291438790096
2.45 0.68 0.6652981709877672
3.06 0.866 0.8754253746833897
3.62 1.06 1.0849113007143307
4.06 1.24 1.2680625843820452
4.82 1.6 1.6419256764195915
5.41 1.95 2.0080210954044957
5.79 2.3 2.2984049920180083
6.23 2.68 2.7176925242565657
6.46 3.03 2.989077786219534
6.67 3.4 3.282128351603555
6.96 3.78 3.788761577462243
7.14 4.16 4.189297144196048
7.25 4.49 4.479469904385161
7.36 4.86 4.813896328135532
7.49 5.24 5.281028299364476
7.6 5.6 5.753279337458425
7.69 6.33 6.205182244662002
