x y_gt y_node
1.0 0.0 0.0
1.01 0.00294 0.012264336830047944
1.13 0.136 0.14355152765635093
1.23 0.235 0.23596049184308676
1.41 0.334 0.37744998453640466
1.61 0.433 0.5114746428622665
1.89 0.519 0.6764129009521939
2.17 0.594 0.8268816373301658
2.45 0.68 0.9693799819370676
3.06 0.866 1.2654565719310222
3.62 1.06 1.5277463131951816
4.06 1.24 1.7297693075526066
4.82 1.6 2.0727741217183673
5.41 1.95 2.335496756288993
5.79 2.3 2.5036534908405033
6.23 2.68 2.6976755817601927
6.46 3.03 2.798883300706844
6.67 3.4 2.8911927513702187
6.96 3.78 3.01854375137396
7.14 4.16 3.097529403672086
7.25 4.49 3.1457791292292807
7.36 4.86 3.1940156435764218
7.49 5.24 3.2510067922534414
7.6 5.6 3.299217882925725
7.69 6.33 3.3386556111686825
