x y_gt y_node
1.0 0.0 0.0
1.01 0.00294 0.009608259348937798
1.13 0.136 0.11182380529033023
1.23 0.235 0.1830680807549861
1.41 0.334 0.29105108044545286
1.61 0.433 0.3921523027781844
1.89 0.519 0.5149547302860928
2.17 0.594 0.6250496313054399
2.45 0.68 0.7269659139877207
3.06 0.866 0.9352127377795635
3.62 1.06 1.1488761524852735
4.06 1.24 1.3149582495263967
4.82 1.6 1.6228126735392336
5.41 1.95 1.9629229686919594
5.79 2.3 2.2368942020424134
6.23 2.68 2.6420667561033784
6.46 3.03 2.887941082465002
6.67 3.4 3.1993621296833963
6.96 3.78 3.695982581774199
7.14 4.16 4.047382025196603
7.25 4.49 4.280991178274276
7.36 4.86 4.518975364328822
7.49 5.24 4.831434332061162
7.6 5.6 5.092300884512193
7.69 6.33 5.3205855084599705
