x y_gt y_node
1.0 0.0 0.0
1.01 0.00294 0.0094108403343093
1.13 0.136 0.10967753361673736
1.23 0.235 0.17973113087749537
1.41 0.334 0.28619108027699736
1.61 0.433 0.38625298253114504
1.89 0.519 0.5086983643632214
2.17 0.594 0.6202744794796585
2.45 0.68 0.7264893873612034
3.06 0.866 0.9523177052613442
3.62 1.06 1.1639879570840306
4.06 1.24 1.339790569744878
4.82 1.6 1.6819890398434725
5.41 1.95 2.0106157573937353
5.79 2.3 2.2760627091459353
6.23 2.68 2.6751784181824503
6.46 3.03 2.9446105177098127
6.67 3.4 3.2439757219055387
6.96 3.78 3.7745867056851434
7.14 4.16 4.197268534084524
7.25 4.49 4.500891352725564
7.36 4.86 4.844878711046806
7.49 5.24 5.309937306404662
7.6 5.6 5.757213522219247
7.69 6.33 6.161024220537007
