x y_gt y_node y_cann y_icnn
1.0 0.0 0.0 0.0 0.0
1.01 0.00294 0.011867032881925095 0.011770625035292238 0.011869676735166057
1.13 0.136 0.13858174142506158 0.13744592411327763 0.1386062084314073
1.23 0.235 0.22734612172460542 0.22548280097037682 0.2273898035113576
1.41 0.334 0.3623876661642575 0.35942257152325935 0.3624665034875293
1.61 0.433 0.4891250423940357 0.48514494669523744 0.48924242680451113
1.89 0.519 0.6432851256772112 0.6381505786574407 0.6434547979134432
2.17 0.594 0.7821600186267502 0.7761746665392019 0.7823801927765729
2.45 0.68 0.9123180973535662 0.9058723844584154 0.9125874125426632
3.06 0.866 1.1799330192663453 1.174714175922275 1.180306325173225
3.62 1.06 1.4158583668133162 1.4165269071812223 1.416324946591786
4.06 1.24 1.5979082458348595 1.6085998337678187 1.5984472580142557
4.82 1.6 1.9086031252485511 1.9548942376993677 1.9092661280010381
5.41 1.95 2.1478810258098777 2.2462315880508754 2.1486395256655078
5.79 2.3 2.3014412771348445 2.4494024531202125 2.30226091359152
6.23 2.68 2.4788655560438175 2.7047062854141997 2.4797554948056795
6.46 3.03 2.571481366890429 2.848484898408584 2.572407765927749
6.67 3.4 2.655979863474807 2.986926892667408 2.6569393142864626
6.96 3.78 2.7725821159989072 3.1907406781770136 2.773586706412444
7.14 4.16 2.844912082544843 3.325421663791467 2.8459442984097687
7.25 4.49 2.889098997186451 3.411083762312836 2.8901479051061107
7.36 4.86 2.9332755780081903 3.4994431115896436 2.9343410052947254
7.49 5.24 2.9854718177201387 3.6075213316646635 2.986556506185984
7.6 5.6 3.029628029387317 3.702217285819981 3.030728754997359
7.69 6.33 3.065749552812248 3.782010143568116 3.066863192052756
