x y_gt y_node y_cann y_icnn
1.0 0.0 0.0 0.0 0.0
1.04 0.0942 0.08712840072648312 0.08641464372315134 0.08713964484253202
1.08 0.16 0.1595831764367345 0.15827533742766736 0.15959916993526996
1.12 0.24 0.22077583142116125 0.2189673057799173 0.22079228708732304
1.15 0.26 0.2608301487403152 0.2586951207814994 0.2608446146985565
1.21 0.331 0.32940524734485516 0.32671626269752224 0.3294107287803585
1.32 0.439 0.42769664202167595 0.4242427137363794 0.4276716324964593
1.43 0.514 0.5045298410683005 0.5005425493580058 0.5044594365170711
1.7 0.657 0.6510836468773205 0.6465890215073448 0.6508458861793949
1.95 0.773 0.7649387365502751 0.761255492170942 0.7644734407318585
2.5 0.968 0.9947676439434195 1.0020527839553277 0.9935228872174854
3.04 1.26 1.2562564281897957 1.2604229100635558 1.2599643032944576
3.44 1.47 1.4744313616860276 1.4916243797344235 1.469987923694626
3.76 1.73 1.7234864695827008 1.721179650566656 1.7299726998023508
4.03 1.97 1.9785218008411212 1.9619036981213778 1.9699909454904307
4.26 2.23 2.223964192047968 2.213972102156944 2.229955276087933
4.45 2.45 2.45170337473711 2.4644502466191858 2.4499742213951032
