x y_gt y_node y_cann y_icnn
1.0 0.0 0.0 0.0 0.0
1.04 0.0942 0.07228697730336509 0.07025263879599355 0.07041791062222726
1.08 0.16 0.1327843285207935 0.12888402739391672 0.1292041382954497
1.12 0.24 0.184138411611181 0.17860813147380847 0.1790848251450318
1.15 0.26 0.21790851374659165 0.21129016949598906 0.21188959959196838
1.21 0.331 0.27608827177174594 0.2675744540091622 0.26843931217704103
1.32 0.439 0.36059565336875216 0.3493137292246379 0.35074440600392687
1.43 0.514 0.42800124482891866 0.41455407214514634 0.41664761283941526
1.7 0.657 0.5616607871477477 0.5443991153117778 0.5483973797558214
1.95 0.773 0.6717880232146701 0.6525014457553318 0.658335415656845
2.5 0.968 0.9163191486100506 0.9000249307779711 0.9081776057857777
3.04 1.26 1.1882353939334378 1.1903372251884285 1.1952439548053848
3.44 1.47 1.4347697960014443 1.4563689594523637 1.4550140620443741
3.76 1.73 1.687770840512985 1.7148278253440856 1.7087477467688323
4.03 1.97 1.9616712757874548 1.9763906368276531 1.9700321006177741
4.26 2.23 2.2491267094188543 2.241714567204679 2.2404716364960784
4.45 2.45 2.5284273633938366 2.5004898246294816 2.507974311053023
