x y_gt y_node y_cann y_icnn
1.0 0.0 0.0 0.0 0.0
1.05 0.0625 0.07437861110173569 0.07376960200688337 0.07439016219568989
1.13 0.158 0.17457906622550948 0.1731482102914172 0.17460437264550926
1.2 0.238 0.24823352850513034 0.24619935318573144 0.24826888756981855
1.33 0.33 0.3615636328657762 0.3586053710272385 0.3616144229150271
1.45 0.417 0.44827992554258234 0.44462351095395175 0.4483425085119113
1.86 0.594 0.6810594526069829 0.6756747697363503 0.681153668420942
2.4 0.767 0.9300016193575291 0.923602955300917 0.9301296201769197
2.99 0.945 1.1796879601643513 1.1747826454544057 1.1798498061871994
3.5 1.13 1.3890835774078674 1.3895005722448346 1.389273806404733
3.98 1.3 1.5838461507939816 1.594958930483393 1.5840627897920834
4.39 1.48 1.749274282369024 1.7759785902377414 1.749513366315745
4.72 1.64 1.8820468175178104 1.9271473148768132 1.8823039305124876
4.99 1.82 1.9905078429342193 2.055537259628111 1.9907797025374032
