x y_gt y_node y_cann y_icnn
1.0 0.0 0.0 0.0 0.0
1.05 0.0625 0.06129446684274589 0.06124606324510329 0.061374192513879544
1.13 0.158 0.14390272386356276 0.1437533075055311 0.14405404412366024
1.2 0.238 0.20464166784302332 0.2044020584809265 0.20482960113483387
1.33 0.33 0.29810654295300953 0.2977215310225019 0.29834337552451307
1.45 0.417 0.3696277114568487 0.36912891110352103 0.369897069737269
1.86 0.594 0.5616789448135011 0.5608644229686245 0.5619766215940706
2.4 0.767 0.7672303719627401 0.7662346155560369 0.7674075142869691
2.99 0.945 0.9736402452866171 0.9732967573439404 0.9735536580033332
3.5 1.13 1.1470670510310474 1.1491963492675776 1.1470208514449702
3.98 1.3 1.3112627374174475 1.3181583889500224 1.312106091228923
4.39 1.48 1.4731660573005803 1.4747785940252671 1.470566319927203
4.72 1.64 1.6402165591976299 1.6302583108177204 1.6432015696872564
4.99 1.82 1.8206272974952182 1.823022954907544 1.8193586417442713
